"table_name","ordinal_position","column_name","data_type","is_nullable","column_default","constraint_type","foreign_table_name","foreign_column_name"
"assembleia_auditoria",1,"id","uuid","NO","gen_random_uuid()","PK","assembleia_auditoria","id"
"assembleia_auditoria",2,"assembleia_id","uuid","NO",NULL,"FK","assembleias","id"
"assembleia_auditoria",3,"user_id","uuid","YES",NULL,"FK","users","id"
"assembleia_auditoria",4,"evento","character varying","NO",NULL,"",NULL,NULL
"assembleia_auditoria",5,"payload","jsonb","YES",NULL,"",NULL,NULL
"assembleia_auditoria",6,"criado_em","timestamp with time zone","YES","now()","",NULL,NULL
"assembleia_checkins",1,"id","uuid","NO","gen_random_uuid()","PK","assembleia_checkins","id"
"assembleia_checkins",2,"assembleia_quorum_id","uuid","NO",NULL,"FK","assembleia_quoruns","id"
"assembleia_checkins",2,"assembleia_quorum_id","uuid","NO",NULL,"",NULL,NULL
"assembleia_checkins",3,"user_id","uuid","NO",NULL,"",NULL,NULL
"assembleia_checkins",3,"user_id","uuid","NO",NULL,"FK","users","id"
"assembleia_checkins",4,"origem","character varying","YES",NULL,"",NULL,NULL
"assembleia_checkins",5,"registrado_em","timestamp with time zone","YES","now()","",NULL,NULL
"assembleia_mesa",1,"id","uuid","NO","gen_random_uuid()","PK","assembleia_mesa","id"
"assembleia_mesa",2,"assembleia_id","uuid","NO",NULL,"",NULL,NULL
"assembleia_mesa",2,"assembleia_id","uuid","NO",NULL,"FK","assembleias","id"
"assembleia_mesa",3,"presidente_user_id","uuid","YES",NULL,"FK","users","id"
"assembleia_mesa",4,"vice_presidente_user_id","uuid","YES",NULL,"FK","users","id"
"assembleia_mesa",5,"secretario_user_id","uuid","YES",NULL,"FK","users","id"
"assembleia_mesa",6,"secretario_2_user_id","uuid","YES",NULL,"FK","users","id"
"assembleia_mesa",7,"definida_por_user_id","uuid","YES",NULL,"FK","users","id"
"assembleia_mesa",8,"definida_em","timestamp with time zone","YES","now()","",NULL,NULL
"assembleia_mesa",9,"estabelecida_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"assembleia_mesa_rejeicoes",1,"id","uuid","NO","gen_random_uuid()","PK","assembleia_mesa_rejeicoes","id"
